Comment,Designator,Footprint,LCSC
470pF,C2,C_1206_3216Metric,C107177
470,"R32,R33,R34,R35",R_1206_3216Metric,C114945
LED-Green-PWR,D26,LED_0603_1608Metric,C12624
270,"R10,R12,R14,R8",R_1206_3216Metric,C137341
1K,"R11,R13,R15,R24,R26,R27,R28,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R9",R_1206_3216Metric,C1469
0.11,"R5,R56,R57,R58,R7",R_1206_3216Metric,C159413
1.2K,R2,R_1206_3216Metric,C17891
INA3221,U3,Texas_RGV_S-PVQFN-N16_EP2.1x2.1mm,C181255
EL817,"U10,U11,U12,U13,U14,U15,U16,U5,U6,U7,U8,U9",DIP-4_W7.62mm,C181890
Barrel_Jack,J1,BarrelJack_Horizontal,C194407
10.2K,"R16,R17,R18,R19,R4,R48,R49,R50,R51,R59,R6,R60,R61,R62",R_1206_3216Metric,C205053
MMBT3904,"Q1,Q2,Q3,Q4",SOT-23,C20526
LED-Red,"D10,D12,D13,D14,D18,D19,D2,D20,D21,D22,D23,D24,D25,D3,D4,D5,D6,D7,D8,D9",LED_0603_1608Metric,C2286
0.1uF,"C4,C5",C_1206_3216Metric,C24497
0.33,R1,R_1206_3216Metric,C25337
2.2K,"R20,R21,R22,R23,R52,R53,R54,R55",R_1206_3216Metric,C26038
100uF,C1,C_Elec_8x10.2,C280404
BTA16-800SW,"Q5,Q6,Q7,Q8",TO-220-3_Vertical,C2831702
470uF,C3,C_Elec_8x10.2,C2858857
ESP32-DEVKIT-V1,U1,MODULE_ESP32_DEVKIT_V1_NOHOLES,C2932676
510,"R25,R29,R30,R31",R_1206_3216Metric,C294789
MC34063AD,U2,SOIC-8_3.9x4.9mm_P1.27mm,C32078
SRD-05VDC-SL-C,"K1,K2,K3,K4",RELAY_SRD-05VDC-SL-C,C35449
220uH,L1,L_1812_4532Metric,C394137
1N5819,"D1,D11,D15,D16,D17",D_DO-41_SOD81_P10.16mm_Horizontal,C402218
3.6K,R3,R_1206_3216Metric,C422446
Pedals,"J2,J3","TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal",C430626
INA226,"U17,U4",VSSOP-10_3x3mm_P0.5mm,C49851
2.2K,R63,R_1206_3216Metric,
M1,JP3,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
M1,JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
M1,JP4,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
M1,JP2,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
